Geno	MeanES	pVal
Clk[out] (#5654)	-1.0374	3.845e-19
disco[1]	-0.94797	2.8449e-09
tutl[1]	-0.8781	0.00031468
Clk[ar]	-0.86271	3.867e-15
R57C10 > TRiP-DH31	-0.82448	6.1718e-08
ry[506]	-0.80864	9.0468e-13
dDH31 (#16474)	-0.80214	2.4672e-10
CNMa (#84485)	-0.76452	3.5836e-18
gl[60j]	-0.76382	1.0626e-11
Pdf[01]	-0.74996	3.6291e-27
cyc[01]	-0.74033	1.8811e-14
cry[b]	-0.73242	5.7047e-32
per[S]	-0.70283	7.4889e-15
PdfR[attp]	-0.64529	2.7859e-12
R57C10>TRiP-DAT (#50619)	-0.63638	4.1002e-11
Clk[Jrk]	-0.61653	3.6817e-11
dAstC	-0.60422	7.2202e-09
dPdf (#84561)	-0.58804	8.0575e-07
dPdfR; dDH31R	-0.58767	5.3378e-10
elav>Dcr2, TriP-Lk	-0.58333	9.9997e-05
Dh31[AttP]	-0.55486	6.4906e-09
dProc (#42407)	-0.55042	7.4844e-08
dCCKR-17D1	-0.54247	6.6201e-06
forS	-0.5407	4.6664e-09
PdfR[5304]	-0.52793	1.6091e-07
dCCha1 (#84458)	-0.51503	3.4988e-08
dOctBeta1R	-0.50283	1.1027e-08
dDH31R	-0.50248	5.8151e-06
dTbh	-0.50164	1.3429e-06
R57C10>TRiP-Ple (#76062)	-0.49437	0.0076125
R57C10>TRiP-TyrR (#57296)	-0.47213	0.00059409
R57C10>TRiP-Akh (#27031)	-0.46632	0.00025302
R57C10>TRiP-SifA (#60484)	-0.45692	0.00024473
dCNMaR	-0.4554	2.1131e-07
dRyaR	-0.44315	1.2e-06
R57C10>TRiP-for (#31698)	-0.43297	9.9168e-05
dDsk (#84497)	-0.41207	6.673e-05
cry[02]	-0.40569	2.0507e-06
dOctBeta3R	-0.38653	4.9541e-05
R57C10>TRiP-OctBeta2R (#50580)	-0.37379	0.0078918
acj6 -	-0.36802	0.00021739
dOctbeta2R	-0.36772	0.0013568
per[01]	-0.36756	2.184e-05
dTrh	-0.3663	0.00058052
dCCLKR-17D3	-0.36378	0.0002987
elav-Gal4 > Dcr2, TRiP-LkR (#25936)	-0.35148	0.0022606
dProc	-0.34788	0.00010537
R57C10>TRiP-SifA (#29428)	-0.33514	0.02814
R57C10>TRiP-OctBeta1R (#50701)	-0.32548	0.017706
dNPF (#84549)	-0.32289	0.007732
R57C10>TRiP-ProcR (#29570)	-0.32168	0.043415
R57C10>TRiP-Tbh (#67968)	-0.31089	0.0051398
R57C10>TRiP-OctBeta1R (#58179)	-0.30032	0.10428
R57C10>TRiP-Tdc2 (#25871)	-0.29266	0.022156
dProcR	-0.27213	0.0087845
Akh[attP]	-0.26573	0.014298
R57C10>TRiP-Nplp2 (#53967)	-0.26369	0.032923
R57C10>TRiP-DDC (#27030)	-0.26172	0.012848
dTyrR	-0.23417	0.026663
R57C10>TRiP-ple (#25796)	-0.23006	0.14188
R57C10>TRiP-Cry (#51033)	-0.21822	0.0734
R57C10>TRiP-OctBeta2R (#34673)	-0.21779	0.060555
nan[36a]	-0.19896	0.11562
R57C10>TriP-trh (#25842)	-0.19336	0.049253
dDAT	-0.18855	0.10594
R57C10>TRiP-for (#21592)	-0.1756	0.13288
dsNPF	-0.17478	0.061038
per[30]	-0.16681	0.065684
R57C10>TRiP-Crz (#25999)	-0.16672	0.13008
R57C10>TRiP-Crz (#26017)	-0.15289	0.19833
R57C10>TRiP-TyrR (#25857)	-0.13478	0.29828
R57C10>TRiP-Oamb (#31171)	-0.13244	0.4299
R57C10>TRiP-Tk (#25800)	-0.11234	0.39474
R57C10>TRiP-DAT (#31256)	-0.10367	0.36378
R57C10>TRiP-ppk25 (#27088)	-0.099096	0.42274
dOamb	-0.096695	0.35502
R57C10>TRiP-Crz (#42751)	-0.091623	0.39406
dTyrRII	-0.08391	0.44186
R57C10>TRiP-Oamb (#31233)	-0.06637	0.48851
R57C10>TRiP-Pdf (#25802)	-0.063804	0.51838
R57C10>TRiP-ShakB (#27292)	-0.062413	0.63915
R57C10>TRiP-TyrRII (#64964)	-0.043467	0.63004
R57C10>TRiP-OctBeta1R (#31106)	-0.039375	0.5859
R57C10>TRiP-ProcR (#29414)	-0.031307	0.76239
R57C10>TRiP-Tbh (#27667)	-0.030582	0.74341
R57C10>TRiP-OctBeta1R (#31107)	-0.029782	0.78188
R57C10>TRiP-TyrRII (#27670)	-0.017917	0.77814
R57C10>TRiP-Oct-Tyr (#28332)	-0.014176	0.86996
R57C10>TRiP-TkR86C (#31884)	-0.0059426	0.88138
R57C10>TRiP-Nplp2 (#54041)	-0.00099627	0.89968
R57C10>TRiP-ple (#76069)	0.049714	0.7436
R57C10>TRiP-OctBeta3R (#31108)	0.058496	0.79843
R57C10>TRiP-Dh33 (#25804)	0.059812	0.72464
R57C10>TRiP-TkR99D (#27513)	0.081095	0.5583
R57C10>TRiP-OctAlpha2R (#50678)	0.08563	0.53992
R57C10>TRiP-ptp69D (#29462)	0.10025	0.42953
R57C10>TRiP-tutl (#54850)	0.10129	0.57626
R57C10>TRiP-acj6 (#29335)	0.19818	0.099563
R57C10>TRiP-ple (#65875)	0.3343	0.0119
elav>TRiP-Dh44, Dcr2	0.4041	0.00069315
R57C10>TRiP-DDC (#51462)	0.82475	2.9635e-08
