Geno	MeanES	pVal
R25G04>TNT-E	-1.0718	3.6125e-20
104y-Gal4 > TNT-E; Cha-Gal80/+	-0.95541	1.5719e-24
fru-Gal4>TNT-E	-0.93665	2.1534e-17
R66B05>TNT-E	-0.90418	2.5009e-14
R65C07 > TNT-E	-0.78802	9.7803e-15
per-Gal4>TNT-E	-0.78598	5.2137e-16
tutl-Gal4>TNT-E	-0.76388	7.7213e-27
VTDH44>TNT-E	-0.74026	1.9335e-17
R54D11 > TNT-E	-0.73809	7.8099e-22
Clk856>TNT-E	-0.70322	1.1953e-14
R27A05>TNT-E	-0.69575	1.5995e-08
R32H03>TNT-E	-0.68438	8.8933e-14
Ilp3>TNT-E	-0.68406	1.9937e-12
R19G10>TNT-E	-0.68008	3.0393e-13
R78G02 > TNT-E	-0.6629	8.2269e-15
104y-Gal4>TNT-E	-0.66197	1.3296e-07
PdfR-Gal4/UAS-TNT-E	-0.6616	1.6421e-15
R11B09>TNT-E	-0.65176	7.8398e-09
R18H11>TNT-E	-0.65035	2.1656e-16
Clk4.5>TNT-E	-0.63018	6.317e-11
tim-Gal4>TNT-E	-0.6243	5.3854e-12
iav-Gal4>TNT-E	-0.60885	3.441e-06
SifA-Gal4>TNT-E	-0.60497	1.0256e-12
Ilp1-Gal4>TNT-E	-0.58292	5.7179e-10
Clk4.1-1>TNT-E	-0.5786	3.7438e-18
R43D05>TNT-E	-0.5758	1.4211e-09
Kurs58>TNT-E; Pdf[01]/+	-0.57569	1.8781e-10
Hug-Gal4>TNT-E	-0.57392	1.0012e-08
R10H10>TNT-E	-0.56425	2.6216e-10
nan-Gal4 YF>TNT-E	-0.55803	4.3415e-05
R19B09>TNT-E	-0.55209	4.8646e-08
GLSNP3375-Gal4>TNT-E	-0.55188	1.219e-05
R18H11>TNT-E	-0.5493	9.5088e-07
Tdc-Gal4>TNT-E	-0.54856	6.7038e-11
R57F07>TNT-E	-0.54804	4.0822e-09
Ilp5-Gal4>TNT-E	-0.5402	2.5087e-06
DNp01 (SS02299)>TNT-E	-0.53522	2.6682e-09
R10F08>TNT-E	-0.52581	4.0781e-08
c17-Gal4>TNT-E	-0.52521	4.3087e-13
R16C05 > TNT-E	-0.5235	4.3948e-09
R34C05>TNT-E	-0.52293	2.6975e-06
SS27853>TNT-E	-0.51324	0.00032676
R23E10>TNT-E	-0.51157	4.187e-07
GH86-Gal4>TNT-E	-0.51123	2.0996e-05
SS00097>TNT-E	-0.49402	1.7293e-06
shakB-Gal4>TNT-E	-0.49133	2.2556e-09
SS00078 >TNT-E	-0.48848	0.00019434
JO-CE>TNT-E	-0.48814	3.5182e-08
Trh-Gal4>TNT-E	-0.48606	7.3056e-07
VT002215>TNT-E	-0.47783	9.4484e-07
nan-Gal4>TNT-E	-0.47308	1.4978e-15
R11C01>TNT-E	-0.46303	0.00014682
