user_name,user_affiliation,edits
Cathy Pilapil,"Mala Murthy Lab, Sebastian Seung Lab",452
Nelsie Panes,"Mala Murthy Lab, Sebastian Seung Lab",304
Jonalyn Revilleza,"Mala Murthy Lab, Sebastian Seung Lab",295
Nash Hadjerol,"Mala Murthy Lab, Sebastian Seung Lab",275
flywire611Estephani Lim,"Mala Murthy Lab, Sebastian Seung Lab",267
Mark Lloyd Pielago,"Mala Murthy Lab, Sebastian Seung Lab",211
Ruairí Roberts,Aelysia,210
Anthony Ralph Piccio,"Mala Murthy Lab, Sebastian Seung Lab",203
marchan manaytay,"Mala Murthy Lab, Sebastian Seung Lab",200
Jacquilyn Laude,"Mala Murthy Lab, Sebastian Seung Lab",187
Mark Lester Avila,"Mala Murthy Lab, Sebastian Seung Lab",174
johnclyde saguimpa,"Mala Murthy Lab, Sebastian Seung Lab",173
David Benjamin Conquilla,"Mala Murthy Lab, Sebastian Seung Lab",163
Clyde,"Mala Murthy Lab, Sebastian Seung Lab",159
Joshua Bañez,"Mala Murthy Lab, Sebastian Seung Lab",157
Irish Bonso,"Mala Murthy Lab, Sebastian Seung Lab",154
Marianne Marie Villarba,"Mala Murthy Lab, Sebastian Seung Lab",146
Chereb Martinez,"Mala Murthy Lab, Sebastian Seung Lab",132
Micah Molinas,"Mala Murthy Lab, Sebastian Seung Lab",131
Austin T Burke,"Mala Murthy Lab, Sebastian Seung Lab",108
Jansen Seguido,"Mala Murthy Lab, Sebastian Seung Lab",108
BETAMAKZ,"Mala Murthy Lab, Sebastian Seung Lab",108
jazeldigamon,"Mala Murthy Lab, Sebastian Seung Lab",103
Allien Mae Gogo,"Mala Murthy Lab, Sebastian Seung Lab",99
Alvin Josh Mandahay,"Mala Murthy Lab, Sebastian Seung Lab",91
Dustin Garner,Sung Soo Kim Lab,91
Kendrick Joules Vinson,"Mala Murthy Lab, Sebastian Seung Lab",89
Nseraf,Eyewire,80
Jasper Phelps,Wei-Chung Lee lab,76
Jenny Abelo,"Mala Murthy Lab, Sebastian Seung Lab",75
James Andrew Campos,"Mala Murthy Lab, Sebastian Seung Lab",71
Michael Marley,"Mala Murthy Lab, Sebastian Seung Lab",68
Laia Serratosa Capdevila,Aelysia,63
Raffy Acosta,"Mala Murthy Lab, Sebastian Seung Lab",60
Hella Jones Dulay,"Mala Murthy Lab, Sebastian Seung Lab",56
